bedrooms,bathrooms,square_feet,location,year_built,garage,has_pool,property_type,num_floors,has_basement,price
6,3,2712,KC Downtown,2014,0,1,Condo,3,1,1204975
6,3,3973,Blue Springs,2018,0,0,Condo,2,0,1112308
3,2,724,Blue Springs,1991,1,0,House,3,0,523390
6,3,911,KC Downtown,1989,1,0,Condo,2,0,848553
4,3,3862,KC Downtown,2016,1,0,House,1,0,1206078
2,3,1374,KC Downtown,1981,0,0,Apartment,2,0,687879
2,3,3649,Overland Park,1982,1,0,Apartment,2,0,967603
5,2,3520,KC Downtown,1993,1,0,Apartment,1,0,1125381
5,1,2073,Olathe,1999,1,0,House,3,1,901230
2,2,2431,Olathe,1983,0,0,Condo,3,1,759408
5,4,1293,Lenexa,2005,0,0,House,2,1,801704
3,1,1782,Blue Springs,1994,0,1,House,2,1,701034
6,1,1976,Blue Springs,1988,0,0,House,1,0,828733
2,1,2443,KC Downtown,1982,1,0,Apartment,1,1,795344
5,2,1589,Blue Springs,1981,0,1,Apartment,1,0,720117
2,4,3446,KC Downtown,2018,1,1,Apartment,3,0,1104809
4,2,3321,KC Downtown,2020,0,1,House,1,0,1083386
1,4,3934,Blue Springs,2009,1,0,Condo,2,1,982711
6,2,2352,Blue Springs,2016,0,0,Condo,1,0,856511
2,2,3559,Lenexa,1996,1,0,Condo,1,1,932959
1,2,3053,Leawood,1982,1,1,Condo,2,1,827121
5,1,3643,Lenexa,1988,0,1,Condo,3,1,1096801
1,2,2316,Lenexa,1987,0,0,Condo,3,0,663795
6,4,2226,Blue Springs,1988,0,1,House,1,1,960608
2,4,3688,Olathe,1996,0,0,Apartment,1,1,937984
4,4,3284,Lenexa,2003,0,1,Condo,2,0,1054189
5,1,3931,Olathe,1987,0,1,Apartment,3,0,1113610
2,2,1489,Blue Springs,1993,0,0,House,1,0,531496
6,2,1978,Overland Park,1995,0,0,Condo,1,0,902727
5,3,1088,KC Downtown,1997,1,0,Apartment,1,1,816148
3,1,3885,Leawood,2003,1,1,House,2,0,1004859
1,4,2886,Olathe,2018,0,0,House,1,1,847335
6,4,779,Overland Park,2006,1,0,Condo,2,0,803265
3,2,2042,Olathe,2007,1,1,Apartment,3,0,802670
2,4,2307,KC Downtown,1986,0,1,Condo,2,1,949127
4,2,3814,KC Downtown,2013,0,0,Condo,3,0,1131410
5,2,2964,Leawood,2006,1,1,Condo,2,1,1012399
1,3,1867,Lenexa,2013,0,0,Condo,1,0,614726
5,1,831,KC Downtown,2018,1,0,House,1,0,723115
2,2,2412,Leawood,1998,0,1,House,3,0,779962
5,2,2212,Olathe,1985,1,1,House,1,1,943833
1,2,1926,Olathe,2009,0,0,Apartment,1,0,602487
2,3,930,Olathe,2007,1,1,Condo,1,0,608750
5,2,1160,Olathe,1991,0,0,House,3,1,750687
4,1,3596,Olathe,1994,1,1,House,2,1,1091365
6,1,847,Blue Springs,2018,1,1,House,2,0,676616
2,4,882,KC Downtown,2018,0,0,House,3,0,684871
6,1,1910,KC Downtown,1994,1,0,House,3,1,978644
2,4,1539,Lenexa,2015,1,0,Apartment,1,1,665241
4,1,2679,Lenexa,1982,0,1,Apartment,2,0,861470
6,4,2123,Blue Springs,1980,1,1,Apartment,3,1,977761
3,2,1129,KC Downtown,1986,1,0,Condo,2,0,710769
1,3,980,Lenexa,1988,1,1,Apartment,3,1,572396
3,3,662,Leawood,1980,0,0,Apartment,3,0,531043
5,3,727,Olathe,1984,1,0,Condo,1,0,633563
4,2,2151,Olathe,2015,0,0,Apartment,2,0,797080
3,3,2810,KC Downtown,1989,1,1,Apartment,2,0,1037620
2,1,3605,Olathe,1981,0,0,Apartment,3,1,917096
5,4,3922,Olathe,2002,1,1,House,3,1,1277803
5,2,894,Leawood,2018,0,0,House,3,1,700508
3,3,778,Overland Park,2008,1,0,Condo,3,0,640805
3,1,828,Blue Springs,1998,1,0,Condo,1,1,488609
4,1,1482,Lenexa,2017,0,1,Condo,1,1,706590
1,2,993,Overland Park,1999,1,1,Condo,3,1,614590
3,2,3339,Lenexa,1991,1,1,Condo,1,0,979783
3,3,671,Overland Park,1990,1,1,House,2,1,665803
6,4,917,Olathe,2014,0,1,House,2,1,850908
2,3,1194,Lenexa,1986,0,1,Apartment,3,0,581137
6,3,978,Blue Springs,2002,1,1,Apartment,1,1,702409
6,2,1506,KC Downtown,1996,0,1,House,1,1,937464
5,3,735,Leawood,1981,1,0,House,3,0,696659
1,3,3377,Overland Park,1984,0,1,Apartment,1,0,926252
2,4,2001,Leawood,2000,0,0,Apartment,2,1,730231
4,1,1742,Leawood,1992,0,1,Condo,2,0,710890
4,1,1505,Lenexa,1990,1,1,Apartment,2,1,708939
3,4,1129,KC Downtown,2003,1,1,House,2,1,850607
3,1,3582,Lenexa,2012,0,0,Condo,3,1,980984
4,3,3313,Leawood,2006,0,0,Condo,1,0,953668
3,4,1122,Olathe,2014,0,1,Condo,1,0,710947
1,4,986,Blue Springs,1997,0,0,Condo,2,1,515827
6,2,3221,KC Downtown,2000,1,1,House,1,0,1227950
3,1,3230,KC Downtown,1983,0,0,House,2,0,987035
5,2,1172,Olathe,2020,0,1,Apartment,3,0,796441
3,3,1243,Leawood,2011,0,0,Apartment,3,0,614081
2,4,3220,Lenexa,2022,0,0,House,3,0,943589
1,3,3517,Olathe,1990,1,0,House,2,0,951019
2,1,1892,Blue Springs,1982,1,0,Apartment,2,0,546908
2,2,1146,Overland Park,2000,1,0,House,3,0,633822
5,1,2109,Lenexa,2022,1,1,House,1,0,853414
1,3,3085,KC Downtown,1993,0,1,Condo,1,0,913260
1,2,2186,Olathe,1985,1,1,House,1,1,757665
1,1,1154,Lenexa,2008,1,1,Condo,2,1,581042
1,3,2363,Overland Park,2010,0,0,House,2,1,772912
1,1,2758,Blue Springs,2007,1,0,Apartment,2,0,650001
5,4,3993,Olathe,2022,1,0,House,1,0,1212937
3,2,3174,Blue Springs,2015,1,1,House,3,1,968677
2,2,2824,Overland Park,2007,1,0,Apartment,1,1,829388
1,2,3321,Overland Park,1998,1,0,Apartment,3,1,878617
3,4,2174,Leawood,1982,1,1,Apartment,3,1,861997
3,2,1223,KC Downtown,1991,0,1,House,2,1,748079
2,4,2588,Leawood,2015,0,0,Apartment,1,0,739601
5,2,1543,Lenexa,2003,0,0,House,3,0,808324
4,1,1072,Overland Park,1991,0,1,Apartment,2,1,673961
4,1,2186,Leawood,2003,1,1,House,2,1,819777
3,1,1593,KC Downtown,1980,1,1,Apartment,1,1,789692
6,1,3526,KC Downtown,2007,1,0,Apartment,2,0,1162036
6,4,1721,Overland Park,1995,1,1,Condo,1,1,984384
2,3,2034,Olathe,2000,1,0,House,2,0,761081
4,3,769,Leawood,2009,0,0,Apartment,1,0,508451
3,1,1613,Blue Springs,2013,0,1,House,2,1,669444
5,3,655,Overland Park,2005,0,1,Apartment,3,1,724541
4,3,2356,Lenexa,2014,1,0,House,1,0,885391
3,2,2972,Leawood,2010,0,1,House,3,0,965261
3,4,1257,Leawood,1995,1,0,House,1,1,736258
1,1,1556,Overland Park,2021,0,0,Condo,1,0,568126
5,3,859,Olathe,2008,0,1,House,1,1,790171
1,3,1240,Leawood,2008,1,1,Apartment,2,1,578618
2,1,3209,Leawood,1988,0,0,Condo,3,1,811679
1,2,2987,Lenexa,1993,1,0,House,2,0,776019
1,1,1003,Olathe,1987,0,0,Apartment,1,1,432254
4,2,3179,Lenexa,1981,1,0,House,3,0,963341
6,3,3845,Blue Springs,1990,0,1,Condo,3,1,1176133
3,4,1394,Lenexa,1981,1,0,Apartment,1,1,707941
5,2,2161,Blue Springs,1997,0,1,Apartment,2,0,811448
1,2,1783,Lenexa,1984,1,1,Apartment,3,0,621547
5,1,3681,Blue Springs,1986,0,0,Condo,3,1,1027637
6,3,3241,Olathe,2002,1,0,Apartment,3,0,1096217
6,4,3927,Lenexa,1998,1,1,House,2,0,1316266
1,1,3264,Lenexa,1998,0,1,House,3,1,853605
2,1,3299,Overland Park,1998,1,0,Apartment,1,1,875194
1,4,1313,Lenexa,2019,1,0,Condo,2,0,591010
4,3,2991,Blue Springs,2007,1,0,Apartment,1,1,901113
3,4,1996,Overland Park,1990,1,1,Apartment,3,0,909176
2,1,2557,Blue Springs,1990,1,1,Apartment,1,0,737118
1,1,2693,Lenexa,1988,0,0,House,1,1,710960
5,2,2352,Lenexa,1993,0,1,House,2,1,980844
2,4,1503,Blue Springs,2013,0,1,Condo,2,1,676875
2,4,2702,Olathe,2008,1,0,Condo,2,0,871137
1,4,1701,Olathe,2000,1,1,Condo,3,0,745858
2,1,2294,Olathe,1984,1,1,House,2,0,782674
5,3,1455,Leawood,2012,1,0,House,2,1,805124
6,1,1895,Overland Park,1988,1,0,House,1,1,912093
2,2,1259,Overland Park,1982,0,0,House,1,0,591053
6,1,710,Olathe,1993,1,1,Condo,1,0,693488
5,1,1638,Lenexa,1997,0,1,House,2,0,753777
1,1,2725,Overland Park,1991,0,1,Condo,2,1,768505
3,2,1100,Blue Springs,2002,1,0,House,3,0,578196
2,4,3235,Lenexa,1993,1,0,Apartment,1,1,876548
3,3,1017,Overland Park,1995,0,1,Condo,3,0,688987
5,3,2463,KC Downtown,2016,0,1,Condo,2,1,1048114
2,2,874,Overland Park,1999,1,1,House,3,1,669077
6,4,1820,Olathe,1999,1,1,Condo,2,0,990124
4,4,2354,Blue Springs,1994,0,0,Apartment,2,0,798348
3,2,3734,Overland Park,2020,0,0,Condo,3,1,1086419
2,1,3620,Leawood,2004,0,0,Condo,1,1,847325
3,4,3638,Olathe,1996,0,1,Apartment,3,0,1087787
2,3,2368,Leawood,1991,0,0,House,1,0,717997
1,2,1733,Lenexa,2021,1,0,House,1,0,609905
6,3,2841,Leawood,2018,1,1,Apartment,2,1,1063979
3,1,2142,Blue Springs,1986,1,1,Condo,3,0,732791
4,2,2567,KC Downtown,1987,0,1,House,1,1,1033514
4,3,3502,KC Downtown,2003,1,0,House,2,0,1156519
5,3,1398,Lenexa,2004,1,0,House,1,1,796084
2,1,2563,Lenexa,2000,1,0,Apartment,1,1,740353
3,2,2948,Leawood,2012,0,0,Apartment,1,1,787725
5,4,3615,Blue Springs,1989,1,1,Condo,2,0,1152868
3,4,3215,Leawood,2001,1,1,Apartment,1,1,994915
2,3,3319,Blue Springs,1998,0,0,Apartment,2,1,839355
4,1,2796,Blue Springs,2008,1,0,Apartment,2,1,830873
1,3,1368,KC Downtown,1982,0,1,House,1,0,667425
4,1,2084,Blue Springs,2018,0,0,Apartment,1,1,732719
5,4,738,Overland Park,1983,0,0,Apartment,2,1,706146
6,3,1460,Blue Springs,2016,0,1,House,1,0,793793
1,3,2459,KC Downtown,2010,0,0,Apartment,3,1,863152
5,1,2939,Olathe,1985,1,0,Apartment,1,1,992142
2,2,934,Leawood,2007,1,1,House,1,0,530310
1,1,3346,Blue Springs,1989,1,0,Condo,3,1,821055
5,2,2458,Overland Park,1991,1,0,Apartment,2,0,946904
2,4,1807,Lenexa,1981,0,0,Condo,2,0,680966
4,3,2954,Leawood,1982,1,1,Condo,2,1,990673
6,3,1524,Lenexa,1980,1,0,Condo,2,1,861926
2,1,1580,Overland Park,2014,0,0,House,3,1,699393
3,1,3545,KC Downtown,2003,0,0,Condo,2,0,1039705
2,4,1885,Olathe,2013,0,0,House,3,0,744703
2,4,3574,KC Downtown,1999,1,0,Apartment,3,1,1100414
6,2,1933,Olathe,1995,0,0,Condo,1,0,845979
3,4,943,Leawood,2009,0,0,Condo,2,1,559530
5,4,1256,Blue Springs,2018,0,1,Condo,2,1,793443
5,4,2396,Blue Springs,2004,0,0,Apartment,1,0,849970
2,4,2449,Lenexa,1984,1,0,Apartment,1,0,760120
3,2,860,KC Downtown,2008,1,1,House,2,0,723235
3,4,1985,Blue Springs,2016,0,1,House,3,0,784650
6,2,768,Olathe,2007,1,0,House,2,1,794609
4,1,1259,Blue Springs,2020,1,1,House,1,1,691507
5,3,799,KC Downtown,2002,0,0,House,2,0,795189
6,1,2008,KC Downtown,2011,0,0,House,2,1,955915
1,4,3983,Overland Park,1997,1,1,Apartment,2,0,1058533
5,3,1181,Lenexa,2020,0,1,Condo,3,1,770510
6,4,3983,KC Downtown,2014,1,0,Condo,3,1,1377058
5,4,1165,Overland Park,2022,0,1,Condo,1,1,828474
4,1,3042,KC Downtown,2003,1,1,Apartment,3,0,1046490
1,4,2998,Leawood,2007,1,1,Apartment,3,0,877917
4,1,627,Olathe,2015,1,1,House,1,0,618994
1,4,2498,Olathe,2000,1,1,House,3,0,857565
2,2,1231,Leawood,1984,0,1,Condo,1,0,531916
6,3,3804,Leawood,2005,0,1,Condo,1,0,1111530
1,1,3027,KC Downtown,2002,1,0,Apartment,3,1,896788
4,1,2225,Blue Springs,2012,0,0,Apartment,2,1,731546
5,3,3175,Blue Springs,2005,0,0,Condo,3,0,1021035
1,1,2636,Leawood,2001,1,1,Apartment,2,1,709758
6,3,1910,Lenexa,1999,1,0,Condo,3,1,889031
1,2,3955,Olathe,1981,1,0,Condo,3,0,974578
3,4,3550,Overland Park,2020,1,0,Condo,3,1,1090601
5,2,2365,Leawood,1997,1,1,Condo,2,1,959563
6,4,1406,Olathe,1984,1,1,Condo,2,0,893649
6,3,2874,Overland Park,2011,1,1,Condo,1,0,1119313
2,2,2674,Overland Park,1990,0,1,Condo,2,0,860999
4,4,1740,Leawood,2000,0,1,House,2,0,828118
2,3,688,Blue Springs,2001,1,1,Apartment,2,0,496541
6,4,3266,Lenexa,1982,0,0,Apartment,3,1,1120141
5,1,2358,Olathe,1988,1,1,Condo,2,0,940452
1,1,721,Leawood,1981,1,0,Apartment,3,1,403018
1,3,2517,Overland Park,2007,0,1,House,3,1,867210
5,4,1465,Olathe,2013,1,1,Apartment,3,1,918034
6,1,632,KC Downtown,1989,0,0,House,3,1,784180
1,2,1202,KC Downtown,1998,1,1,House,2,0,649365
1,4,1295,Olathe,2008,1,0,Condo,3,0,642155
1,4,3535,Olathe,1981,0,0,Apartment,2,0,897623
4,1,1124,Overland Park,1985,1,0,Apartment,1,0,655415
4,1,1647,Leawood,1986,1,0,House,1,0,673834
3,3,1948,Blue Springs,2015,1,0,Condo,3,0,722560
2,4,2681,Leawood,1987,1,0,Condo,1,0,813497
5,2,846,Lenexa,1998,0,1,House,1,0,670692
5,1,3690,Olathe,1989,0,1,Apartment,1,0,1050919
5,4,3701,KC Downtown,2012,0,0,Condo,3,0,1269128
3,1,2696,Overland Park,2016,0,1,House,1,0,876263
4,3,2562,Blue Springs,2017,0,1,Condo,3,1,874495
6,4,3559,Leawood,2006,0,0,House,2,0,1171307
6,4,2827,Lenexa,2008,1,0,Condo,1,0,1069338
3,3,1993,Leawood,1998,0,0,Condo,3,1,782819
6,2,2507,Lenexa,1997,0,0,Condo,2,0,930026
5,1,2623,Leawood,2002,1,0,Condo,1,1,870189
2,3,1337,Blue Springs,1980,0,0,House,1,0,569823
1,4,2568,Blue Springs,2022,1,0,Condo,3,0,757814
4,3,3237,Overland Park,1982,1,0,Apartment,1,1,1060119
4,4,3143,Blue Springs,1989,0,0,Apartment,1,0,936287
3,3,3078,Lenexa,1986,1,0,Apartment,3,1,946568
4,2,3878,Overland Park,2005,1,1,Condo,2,0,1135402
5,4,3706,Blue Springs,1995,0,0,Apartment,2,0,1082021
6,3,2036,KC Downtown,2018,1,1,Condo,1,0,1058859
5,2,963,Lenexa,2011,0,0,Condo,3,0,683117
3,2,2957,Overland Park,1991,1,1,House,2,0,970769
5,1,1581,Lenexa,1987,1,1,Apartment,2,0,774473
6,4,1902,Overland Park,1987,1,1,House,2,1,1022504
2,1,3823,Lenexa,1990,0,0,Condo,2,0,887576
3,2,826,KC Downtown,2012,1,0,Condo,3,0,674281
2,1,1866,Blue Springs,2004,0,0,House,2,1,619760
1,1,2657,Leawood,1996,0,1,Condo,2,0,712884
2,3,2015,Leawood,2010,0,0,House,2,0,669168
1,1,2695,Leawood,1998,1,0,Apartment,1,0,679782
1,2,2247,Overland Park,1994,1,1,Condo,2,1,767133
2,1,2851,Blue Springs,2014,1,1,Condo,1,1,779647
3,4,3636,Olathe,2018,0,0,House,2,0,1049145
6,3,3541,Overland Park,1981,0,0,Condo,3,0,1155369
5,2,756,Overland Park,2013,0,1,Apartment,3,0,692050
5,1,3502,Overland Park,2004,0,0,Apartment,3,1,1074890
6,4,2673,Olathe,2017,1,0,Apartment,1,1,1079297
1,2,3068,Overland Park,1983,0,1,Condo,1,1,873445
1,1,2301,Blue Springs,1995,0,1,House,2,0,664530
3,3,1360,Leawood,2011,1,0,Apartment,3,0,621442
4,1,1373,Lenexa,1994,1,0,Apartment,2,1,666793
2,2,2911,Overland Park,2021,0,1,Condo,2,1,909177
1,2,2152,Blue Springs,1993,1,1,House,3,1,707613
5,2,3235,KC Downtown,2020,0,0,House,2,1,1131826
3,4,1557,Lenexa,1994,1,0,Apartment,1,1,681208
2,1,3117,Overland Park,1986,1,1,House,1,0,925483
3,1,853,Overland Park,1986,1,0,Apartment,3,1,599598
2,1,2169,Lenexa,1987,0,1,Condo,3,0,709320
2,3,3818,Lenexa,1998,1,0,Apartment,3,0,1001123
6,4,3997,Overland Park,1997,0,1,Condo,3,0,1348760
1,4,3387,Blue Springs,1996,0,1,Apartment,2,0,850543
3,3,717,KC Downtown,1997,1,1,Condo,2,0,764730
3,4,3836,Blue Springs,1998,0,1,Condo,3,0,1075099
6,3,1149,Olathe,2019,0,1,House,3,1,843780
5,2,1510,Leawood,1992,1,1,Apartment,2,0,767104
5,2,1469,Leawood,1990,1,0,Condo,2,1,782767
1,4,1407,Leawood,1986,0,1,Apartment,1,1,590953
1,2,2272,Overland Park,2006,0,0,Condo,2,1,695702
4,2,1420,KC Downtown,2016,0,0,Apartment,3,0,759568
6,2,2381,KC Downtown,1984,0,1,House,3,0,1084813
5,1,1821,Olathe,1987,1,1,Apartment,1,0,784041
2,2,2201,Overland Park,1989,0,0,Apartment,1,1,727420
3,1,3211,Overland Park,2016,1,1,Apartment,1,0,971622
1,3,3800,Overland Park,2005,0,1,Apartment,2,1,975241
3,3,3061,KC Downtown,1994,0,0,Condo,2,1,1008937
3,3,1479,Overland Park,1995,1,1,House,3,0,864158
4,3,1592,Lenexa,2008,1,1,Condo,3,1,812720
5,3,600,Lenexa,2007,1,1,Apartment,1,1,659295
1,2,766,Lenexa,1989,0,1,Apartment,1,1,452639
3,2,2663,Overland Park,2019,1,1,Condo,2,1,914233
1,2,3304,Lenexa,1983,0,0,Apartment,3,1,807744
2,3,711,Olathe,2019,0,1,House,3,1,629483
4,3,1725,Overland Park,1993,1,0,Apartment,1,0,741471
2,1,3241,Olathe,2012,0,1,House,2,1,903613
1,4,2029,Lenexa,1997,0,0,Apartment,3,0,617247
1,2,2605,Overland Park,1991,0,1,House,3,1,871184
5,4,2643,Blue Springs,1989,1,1,Condo,2,1,996459
3,3,1106,Leawood,2000,0,1,Condo,1,1,629402
3,3,2234,Blue Springs,2012,0,1,Apartment,1,1,749969
2,3,1270,Leawood,1993,0,0,Apartment,2,1,536132
4,4,3711,Leawood,1988,0,0,Condo,2,1,1086038
6,1,2290,Lenexa,2005,1,1,House,2,0,951839
3,3,3406,Leawood,1994,1,0,Condo,3,1,996762
5,1,3144,Leawood,2000,0,0,Apartment,2,1,943936
2,1,1564,Blue Springs,2001,0,0,Condo,1,1,537312
2,2,880,Leawood,2020,0,0,Condo,3,0,489571
6,4,950,Overland Park,2022,0,0,Apartment,2,1,807724
5,3,2981,Olathe,1984,1,0,Apartment,2,1,1003253
4,1,2549,Olathe,1995,1,0,Apartment,2,1,865516
5,4,2566,Overland Park,2014,1,1,Condo,1,0,1050028
4,4,3408,Lenexa,1984,1,1,House,1,1,1149164
5,3,2147,Blue Springs,2005,1,0,Condo,1,1,873874
5,2,1906,KC Downtown,2005,1,0,House,3,1,1001885
1,2,2564,Olathe,1984,0,0,House,1,1,748836
2,1,1327,Blue Springs,2015,0,1,House,2,1,591201
5,2,3990,Olathe,2003,0,0,Apartment,1,1,1114067
6,2,1422,KC Downtown,1994,1,1,Apartment,3,0,974984
5,2,2037,Leawood,2009,0,1,Apartment,1,1,783475
3,4,2661,KC Downtown,1984,0,0,House,3,1,1045080
2,3,1679,Leawood,2019,0,0,House,2,0,624187
3,4,2989,Olathe,2001,1,1,House,3,0,1034700
2,4,798,Blue Springs,2012,1,1,Condo,1,0,540876
3,3,2483,Blue Springs,1984,0,1,House,2,1,829192
5,4,1277,Lenexa,2011,0,0,Apartment,1,1,729392
5,1,3963,Olathe,2002,1,0,Condo,1,1,1092249
1,1,3305,Lenexa,1989,1,1,House,2,1,853996
6,4,2064,Olathe,2015,0,0,Apartment,2,0,875046
3,2,677,Leawood,1996,1,1,House,1,1,572043
4,4,2759,Olathe,2006,1,1,Apartment,2,0,977534
1,2,1134,Olathe,1987,0,1,Apartment,1,1,507266
3,4,1998,Leawood,2019,0,0,Apartment,3,0,776923
3,1,3787,Overland Park,1985,0,1,House,3,1,1075835
1,2,1765,Overland Park,1986,1,1,Apartment,1,0,616986
5,1,3639,Olathe,2005,0,0,House,3,0,1126145
3,4,1820,Overland Park,1996,0,1,Apartment,1,0,825363
5,3,1389,Blue Springs,2016,1,1,House,2,0,814609
1,2,2163,Olathe,2002,1,1,Condo,3,0,727184
5,2,1922,KC Downtown,2006,0,1,Apartment,2,1,910373
2,4,1699,Leawood,2019,0,1,House,1,1,668128
4,4,3177,Lenexa,1998,0,1,House,1,0,998067
3,2,2747,Leawood,2006,1,1,House,3,0,908352
6,3,2102,Olathe,2004,1,1,Apartment,2,0,944719
4,4,3620,KC Downtown,2019,0,1,Condo,1,1,1210395
5,4,2091,Leawood,2004,0,0,Apartment,1,1,850714
3,4,2259,Lenexa,2000,1,0,Apartment,2,0,790577
5,3,2500,Lenexa,2004,1,1,Condo,2,1,989791
2,2,1915,KC Downtown,1986,0,0,Condo,1,1,731128
1,1,3662,Lenexa,2014,1,0,Condo,2,1,874688
3,4,724,Blue Springs,1985,1,0,Apartment,3,1,575935
2,3,3662,Lenexa,2019,0,0,Condo,2,1,982797
2,2,1118,KC Downtown,1994,1,0,Condo,3,0,658249
3,2,2670,KC Downtown,2003,1,1,Condo,2,1,1009099
5,3,761,Leawood,1983,1,1,Apartment,1,1,686620
6,4,3276,Lenexa,1986,1,1,Condo,1,0,1186095
2,1,3153,Lenexa,2009,0,0,Apartment,2,0,776954
4,4,1481,Olathe,1996,1,0,Condo,2,1,780491
2,2,1644,Olathe,2017,1,0,Condo,1,0,615774
6,1,2387,KC Downtown,2009,0,0,House,2,0,992415
5,4,2461,Olathe,2018,1,0,House,1,1,1039479
5,1,1082,Leawood,1988,0,1,Apartment,1,0,648327
4,3,2125,Leawood,1998,1,1,House,1,1,884962
2,4,2566,Blue Springs,1992,1,0,House,3,0,814047
5,2,2956,Blue Springs,2016,1,0,House,3,1,1050334
6,2,1473,KC Downtown,1998,0,0,Apartment,3,0,843798
3,1,2176,Leawood,1985,1,0,Condo,1,0,687507
1,3,2850,Leawood,1991,0,0,Apartment,1,1,764286
1,4,3287,Blue Springs,1994,0,0,House,2,1,870178
1,3,741,Olathe,1982,1,1,Apartment,3,0,582292
2,3,2479,Blue Springs,1983,1,1,Apartment,1,1,768098
4,1,1603,KC Downtown,2016,0,1,Apartment,2,1,790664
5,1,3262,Leawood,2017,0,1,Condo,2,1,1005829
3,4,2754,KC Downtown,1985,0,1,Condo,3,0,1045555
6,2,2614,Blue Springs,2007,0,0,House,3,1,936164
3,4,1128,Lenexa,1987,0,1,Condo,3,1,708411
6,3,3223,Blue Springs,2010,0,0,House,1,1,1055970
2,1,1568,Leawood,2000,0,1,Condo,1,1,588075
1,3,2372,KC Downtown,2008,0,1,House,3,1,872685
2,1,3335,Olathe,1994,0,1,Apartment,2,1,846042
4,2,2938,Olathe,2003,1,0,House,1,0,930448
4,3,1404,Leawood,2000,0,0,Condo,1,0,648806
6,1,1934,Blue Springs,2002,0,1,House,3,0,877864
5,4,1267,Blue Springs,2010,0,1,Condo,1,1,772992
5,4,984,Overland Park,2013,0,1,Apartment,3,1,859653
6,4,3724,Blue Springs,2007,1,1,Apartment,1,1,1189584
4,3,2208,Leawood,2011,0,0,Condo,2,0,810093
4,1,3854,KC Downtown,2001,1,0,House,1,0,1143146
4,1,3348,KC Downtown,1982,1,0,Apartment,3,0,1033958
2,1,612,Overland Park,1988,1,1,House,2,0,575398
4,3,3607,Olathe,1985,1,1,Apartment,2,1,1128427
3,1,2807,Leawood,1980,0,0,Apartment,3,1,822377
1,2,1907,Blue Springs,2001,1,1,House,2,1,663925
4,3,3212,Lenexa,1983,0,0,Condo,1,1,984244
6,2,3958,KC Downtown,1987,0,0,Condo,2,1,1292136
1,2,2655,Leawood,2016,0,0,Condo,2,0,695010
2,4,671,Overland Park,2021,1,0,Condo,2,0,582025
6,3,3539,Lenexa,1998,1,1,House,1,1,1230121
1,1,2745,Olathe,1980,0,0,House,2,0,774714
6,2,2734,Leawood,2020,1,0,Apartment,1,0,939948
2,3,2465,Blue Springs,2003,1,1,Apartment,2,1,798141
3,1,700,Olathe,1996,1,1,Apartment,3,0,539595
2,4,880,KC Downtown,2011,0,0,House,1,1,659135
2,3,1482,Blue Springs,1993,1,0,Apartment,1,0,580331
6,3,1912,Overland Park,1996,0,1,House,1,1,986402
5,3,3396,KC Downtown,2011,1,1,House,2,0,1232863
4,1,2843,Lenexa,2012,1,1,House,1,1,956885
4,2,3038,KC Downtown,2009,1,1,Apartment,3,0,1062142
3,2,1208,Blue Springs,2013,0,0,Condo,3,1,605044
3,3,1049,Olathe,2007,1,1,House,2,1,732130
4,3,3767,Leawood,2003,0,1,Apartment,1,1,1082102
5,1,1884,Leawood,1993,0,0,Apartment,2,0,755005
4,4,2135,Leawood,2013,1,1,Condo,3,1,930987
5,3,720,Overland Park,1980,1,0,House,2,0,748784
3,3,2979,Overland Park,2001,0,1,House,3,0,1000609
1,4,1675,Leawood,2012,0,1,Apartment,3,0,642570
6,3,917,Lenexa,1997,1,0,House,2,1,792500
3,2,3322,Blue Springs,2018,1,0,Condo,3,0,905335
3,3,1301,Lenexa,1991,1,0,House,3,0,697540
2,2,3948,Leawood,1989,0,0,Apartment,3,0,935631
2,1,3865,Blue Springs,1981,1,1,House,1,0,929208
2,1,3340,Overland Park,1981,1,0,House,3,0,941144
6,2,1616,KC Downtown,1985,0,0,House,2,0,928207
2,2,620,KC Downtown,1999,0,0,House,1,1,605754
5,4,3046,Blue Springs,2017,1,1,Apartment,1,1,1046456
4,2,2338,Lenexa,2007,0,0,Apartment,2,0,797088
1,2,2849,Blue Springs,2021,0,1,House,3,0,785381
3,3,3113,Lenexa,1982,1,0,Apartment,2,0,954883
5,4,3822,Olathe,2016,1,0,Apartment,2,1,1198663
1,2,1495,Lenexa,2016,0,1,Apartment,3,1,597281
5,2,1782,KC Downtown,2021,0,1,House,3,1,1000486
5,2,2957,Overland Park,2004,1,1,House,1,1,1108338
3,3,3151,Leawood,2002,1,0,House,1,1,909066
4,3,2673,Overland Park,1992,0,0,House,3,1,973835
2,3,665,Leawood,2003,0,0,Condo,3,0,495106
6,1,862,Olathe,1982,1,1,House,2,1,759801
4,3,1071,KC Downtown,2017,1,1,House,3,0,861250
6,2,2814,Leawood,2007,0,0,House,3,1,1037707
3,3,3447,Olathe,2005,0,1,Condo,3,0,1033829
3,3,3825,Lenexa,1999,1,1,House,3,0,1113357
3,4,942,Blue Springs,2006,1,0,Condo,3,0,609479
1,2,1317,Leawood,1980,1,0,Condo,2,1,539987
6,3,3060,Overland Park,1989,1,0,House,3,0,1131915
4,1,3855,KC Downtown,1989,0,0,House,2,0,1140751
4,4,2294,KC Downtown,1980,0,0,Condo,2,0,985144
5,3,3865,Olathe,2011,1,0,Apartment,1,1,1176636
